Distribution,NumClust,PointsCluster,Iterations per Noise
u,10,100,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.289,0.75,0.617,0.73375,1.0,1.0,1.0,0.94525,0.8675,0.229
0.1,0.75,0.75,0.29,0.75,0.621,0.73575,1.0,1.0,1.0,0.93875,0.8615,0.2295
0.2,0.75,0.75,0.2855,0.75,0.611,0.734,1.0,1.0,1.0,0.9375,0.8595,0.2325
0.3,0.75,0.75,0.28575,0.75,0.62125,0.73525,1.0,1.0,0.99975,0.9405,0.85075,0.23375
0.4,0.75,0.75,0.29425,0.75,0.61625,0.73525,1.0,1.0,1.0,0.93575,0.85975,0.22575
0.5,0.75,0.75,0.28825,0.75,0.62375,0.73575,1.0,1.0,1.0,0.936,0.8575,0.2325
0.6,0.75,0.75,0.28875,0.75,0.618,0.73475,1.0,1.0,1.0,0.9365,0.8645,0.2305
0.7,0.75,0.75,0.28925,0.75,0.6065,0.73375,1.0,1.0,1.0,0.936,0.86175,0.23275
0.8,0.75,0.75,0.2915,0.75,0.614,0.73475,1.0,1.0,0.99975,0.93675,0.84675,0.23375
0.9,0.75,0.75,0.28925,0.75,0.6155,0.7335,1.0,1.0,0.99975,0.93525,0.84925,0.23225
1.0,0.75,0.75,0.28775,0.75,0.61625,0.736,1.0,1.0,1.0,0.93375,0.84375,0.23375

Time
0,75,69,436,378,402,111,1122,1122,3573,1428,4273,4257,
