Distribution,NumClust,PointsCluster,Iterations per Noise
n,20,100,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.300625,0.75,0.621375,0.722375,1.0,1.0,1.0,0.93875,0.863375,0.063125
0.1,0.75,0.75,0.30575,0.75,0.61775,0.72025,1.0,1.0,1.0,0.937875,0.86,0.06825
0.2,0.75,0.75,0.30125,0.75,0.6205,0.720125,1.0,1.0,1.0,0.93675,0.8545,0.06375
0.3,0.75,0.75,0.304375,0.75,0.620625,0.7195,1.0,1.0,1.0,0.935375,0.854125,0.066875
0.4,0.75,0.75,0.30275,0.75,0.620625,0.719125,1.0,1.0,1.0,0.93575,0.845,0.06525
0.5,0.75,0.75,0.304375,0.75,0.6175,0.718625,1.0,1.0,1.0,0.934125,0.854125,0.066875
0.6,0.75,0.75,0.303125,0.75,0.61575,0.71875,1.0,1.0,0.999875,0.932375,0.86325,0.065625
0.7,0.75,0.75,0.303,0.75,0.619125,0.716875,1.0,1.0,1.0,0.930875,0.835125,0.0655
0.8,0.75,0.75,0.305,0.75,0.61475,0.7175,1.0,1.0,1.0,0.93025,0.845375,0.0675
0.9,0.75,0.75,0.300625,0.75,0.6145,0.7175,1.0,1.0,1.0,0.92825,0.84975,0.063125
1.0,0.75,0.75,0.30325,0.75,0.61875,0.71675,1.0,1.0,1.0,0.92875,0.84275,0.06575

Time
0,132,140,689,553,644,215,2783,2964,11131,4427,13801,13989,
