Distribution,NumClust,PointsCluster,Iterations per Noise
c,5,100000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.3605,0.3605,0.25,0.7495,0.6235,0.344,0.7935,0.7935,0.991,0.7055,0.857,0.0
0.1,0.3595,0.3595,0.25,0.75,0.621,0.34,0.7895,0.7895,0.9915,0.699,0.8825,0.0
0.2,0.365,0.365,0.25,0.75,0.6275,0.338,0.7925,0.7925,0.992,0.7035,0.8725,0.0
0.3,0.3615,0.3615,0.25,0.75,0.6235,0.3455,0.793,0.793,0.99,0.6975,0.8715,0.0
0.4,0.3635,0.3635,0.25,0.75,0.632,0.334,0.787,0.787,0.9925,0.6985,0.867,0.0
0.5,0.365,0.365,0.25,0.75,0.626,0.3415,0.796,0.796,0.9905,0.7025,0.8815,0.0
0.6,0.365,0.365,0.25,0.75,0.618,0.342,0.7915,0.7915,0.9955,0.6915,0.8745,0.0
0.7,0.3545,0.3545,0.25,0.75,0.625,0.3375,0.7985,0.7985,0.9885,0.6945,0.864,0.0
0.8,0.3625,0.3625,0.25,0.75,0.627,0.345,0.7945,0.7945,0.993,0.699,0.866,0.0
0.9,0.3535,0.3535,0.25,0.7495,0.6215,0.338,0.78,0.78,0.9925,0.696,0.8705,0.0
1.0,0.3625,0.3625,0.25,0.75,0.62,0.344,0.788,0.788,0.992,0.706,0.8785,0.0

Time
0,50587,47050,170482,114303,132182,65876,332141,435704,641240,452090,753195,978631,
