Distribution,NumClust,PointsCluster,Iterations per Noise
n,20,10000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.61,0.71775,1.0,1.0,1.0,0.9375,0.87025,0.0125
0.1,0.75,0.75,0.25,0.75,0.616625,0.719,1.0,1.0,1.0,0.9375,0.852375,0.0125
0.2,0.75,0.75,0.25,0.75,0.6115,0.71875,1.0,1.0,1.0,0.9375,0.84625,0.0125
0.3,0.75,0.75,0.25,0.75,0.608125,0.719375,1.0,1.0,1.0,0.9375,0.856375,0.0125
0.4,0.75,0.75,0.25,0.75,0.608125,0.718375,1.0,1.0,1.0,0.9375,0.851625,0.0125
0.5,0.75,0.75,0.25,0.75,0.6085,0.71875,1.0,1.0,1.0,0.9375,0.845125,0.0125
0.6,0.75,0.75,0.25,0.75,0.60325,0.7185,1.0,1.0,1.0,0.9375,0.845625,0.0125
0.7,0.75,0.75,0.25,0.75,0.609,0.71825,1.0,1.0,1.0,0.937125,0.832625,0.0125
0.8,0.75,0.75,0.25,0.75,0.607375,0.717125,1.0,1.0,1.0,0.9345,0.8355,0.0125
0.9,0.75,0.75,0.25,0.75,0.609375,0.71375,1.0,1.0,1.0,0.93025,0.83575,0.0125
1.0,0.75,0.75,0.25,0.75,0.611,0.716125,1.0,1.0,1.0,0.931875,0.84625,0.0125

Time
0,15367,13550,64334,38736,46046,21732,347025,356713,793969,491809,966097,1352372,
