Distribution,NumClust,PointsCluster,Iterations per Noise
n,10,100000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.6025,0.6875,1.0,1.0,1.0,0.875,0.8315,0.025
0.1,0.75,0.75,0.25,0.75,0.60475,0.68575,1.0,1.0,1.0,0.875,0.8195,0.025
0.2,0.75,0.75,0.25,0.75,0.5885,0.689,1.0,1.0,1.0,0.875,0.83175,0.025
0.3,0.75,0.75,0.25,0.75,0.58475,0.68775,1.0,1.0,1.0,0.875,0.804,0.025
0.4,0.75,0.75,0.25,0.75,0.584,0.68775,1.0,1.0,1.0,0.875,0.802,0.025
0.5,0.75,0.75,0.25,0.75,0.5875,0.687,1.0,1.0,1.0,0.875,0.80425,0.025
0.6,0.75,0.75,0.25,0.75,0.5965,0.6875,1.0,1.0,1.0,0.875,0.799,0.025
0.7,0.75,0.75,0.25,0.75,0.591,0.687,1.0,1.0,1.0,0.875,0.80375,0.025
0.8,0.75,0.75,0.25,0.75,0.58425,0.68475,1.0,1.0,1.0,0.875,0.795,0.025
0.9,0.75,0.75,0.25,0.75,0.59075,0.68025,1.0,1.0,1.0,0.8735,0.7935,0.025
1.0,0.75,0.75,0.25,0.75,0.5885,0.6805,1.0,1.0,1.0,0.86825,0.7965,0.025

Time
0,169704,167352,448482,319464,362745,212017,1879317,2112277,3340595,2449209,3818094,4816917,
