Distribution,NumClust,PointsCluster,Iterations per Noise
u,5,1000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.597,0.7245,1.0,1.0,1.0,0.915,0.8235,0.2
0.1,0.75,0.75,0.25,0.75,0.596,0.727,1.0,1.0,1.0,0.9215,0.8155,0.2
0.2,0.75,0.75,0.25,0.75,0.5825,0.7265,1.0,1.0,1.0,0.916,0.8065,0.2
0.3,0.75,0.75,0.25,0.75,0.583,0.7325,1.0,1.0,1.0,0.911,0.8165,0.2
0.4,0.75,0.75,0.25,0.75,0.5995,0.728,1.0,1.0,1.0,0.9035,0.8045,0.2
0.5,0.75,0.75,0.25,0.75,0.598,0.7315,1.0,1.0,1.0,0.896,0.8095,0.2
0.6,0.75,0.75,0.25,0.75,0.5975,0.7285,1.0,1.0,1.0,0.891,0.8055,0.2
0.7,0.75,0.75,0.25,0.75,0.5975,0.7295,1.0,1.0,1.0,0.897,0.8175,0.2
0.8,0.75,0.75,0.25,0.75,0.5865,0.7305,1.0,1.0,1.0,0.885,0.81,0.2
0.9,0.75,0.75,0.25,0.75,0.586,0.733,1.0,1.0,1.0,0.8925,0.8145,0.2
1.0,0.75,0.75,0.25,0.75,0.59,0.731,1.0,1.0,1.0,0.8905,0.8035,0.2

Time
0,313,274,1663,840,1132,463,1791,3071,4650,3056,6309,9316,
