Distribution,NumClust,PointsCluster,Iterations per Noise
n,10,10000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.594,0.687,1.0,1.0,1.0,0.875,0.823,0.0
0.1,0.75,0.75,0.25,0.75,0.5965,0.6855,1.0,1.0,1.0,0.875,0.824,0.0
0.2,0.75,0.75,0.25,0.75,0.59575,0.685,1.0,1.0,1.0,0.875,0.83275,0.0
0.3,0.75,0.75,0.25,0.75,0.59475,0.68675,1.0,1.0,1.0,0.875,0.80975,0.0
0.4,0.75,0.75,0.25,0.75,0.5895,0.6875,1.0,1.0,1.0,0.875,0.8115,0.0
0.5,0.75,0.75,0.25,0.75,0.587,0.68525,1.0,1.0,1.0,0.875,0.7985,0.0
0.6,0.75,0.75,0.25,0.75,0.59225,0.6875,1.0,1.0,1.0,0.875,0.8005,0.0
0.7,0.75,0.75,0.25,0.75,0.584,0.68725,1.0,1.0,1.0,0.875,0.7975,0.0
0.8,0.75,0.75,0.25,0.75,0.591,0.684,1.0,1.0,1.0,0.875,0.80475,0.0
0.9,0.75,0.75,0.25,0.75,0.5905,0.68225,1.0,1.0,1.0,0.87275,0.802,0.0
1.0,0.75,0.75,0.25,0.75,0.588,0.67775,1.0,1.0,1.0,0.86925,0.79825,0.0

Time
0,9512,7798,36294,21122,25115,12336,118006,128787,232024,154597,277080,398454,
