Distribution,NumClust,PointsCluster,Iterations per Noise
u,20,100,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.31025,0.75,0.63,0.742875,1.0,1.0,1.0,0.971375,0.866375,0.239625
0.1,0.75,0.75,0.309375,0.75,0.626875,0.74175,1.0,1.0,1.0,0.969125,0.878125,0.240375
0.2,0.75,0.75,0.31225,0.75,0.626,0.7415,1.0,1.0,1.0,0.969375,0.87,0.241125
0.3,0.75,0.75,0.309875,0.75,0.62825,0.74225,1.0,1.0,1.0,0.9685,0.859875,0.240125
0.4,0.75,0.75,0.31175,0.75,0.626875,0.742,1.0,1.0,1.0,0.966875,0.8805,0.235875
0.5,0.75,0.75,0.308125,0.75,0.625125,0.742625,1.0,1.0,1.0,0.968375,0.875125,0.23925
0.6,0.75,0.75,0.309875,0.75,0.6265,0.742375,1.0,1.0,1.0,0.968375,0.86975,0.2415
0.7,0.75,0.75,0.3085,0.75,0.623125,0.74125,1.0,1.0,1.0,0.966375,0.873625,0.2375
0.8,0.75,0.75,0.309625,0.75,0.625125,0.741125,1.0,1.0,1.0,0.965875,0.851,0.238375
0.9,0.75,0.75,0.308,0.75,0.625625,0.741125,1.0,1.0,1.0,0.96625,0.866125,0.240875
1.0,0.75,0.75,0.31275,0.75,0.623875,0.74175,1.0,1.0,1.0,0.96475,0.872,0.243125

Time
0,118,124,657,528,652,195,2653,3038,10713,4423,13636,13936,
