Distribution,NumClust,PointsCluster,Iterations per Noise
c,5,1000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.697,0.697,0.25,0.7495,0.6335,0.6275,0.8825,0.8825,0.992,0.7805,0.8785,0.05
0.1,0.6985,0.6985,0.25,0.75,0.6325,0.618,0.8775,0.8775,0.995,0.7745,0.8715,0.05
0.2,0.688,0.688,0.25,0.749,0.632,0.6175,0.882,0.881,0.9885,0.781,0.8765,0.05
0.3,0.686,0.686,0.25,0.75,0.625,0.6285,0.8865,0.886,0.9935,0.7825,0.8665,0.05
0.4,0.691,0.691,0.25,0.75,0.6285,0.6155,0.8825,0.8825,0.9935,0.788,0.8815,0.05
0.5,0.6825,0.6825,0.25,0.75,0.63,0.613,0.878,0.878,0.993,0.7735,0.8735,0.05
0.6,0.682,0.682,0.25,0.75,0.63,0.617,0.877,0.877,0.9915,0.7755,0.874,0.05
0.7,0.6765,0.6765,0.25,0.7495,0.6275,0.6125,0.875,0.8735,0.9905,0.778,0.8735,0.05
0.8,0.6685,0.6685,0.25,0.75,0.6225,0.6025,0.872,0.872,0.9925,0.7725,0.885,0.05
0.9,0.6765,0.6765,0.25,0.75,0.6125,0.605,0.8755,0.875,0.9895,0.775,0.8665,0.05
1.0,0.663,0.663,0.25,0.75,0.6295,0.603,0.864,0.8635,0.991,0.7735,0.8685,0.05

Time
0,256,271,1615,867,1167,491,1823,3025,4569,3094,6420,9198,
