Distribution,NumClust,PointsCluster,Iterations per Noise
u,5,1000000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.597,0.75,1.0,1.0,1.0,0.9225,0.81,0.2
0.1,0.75,0.75,0.25,0.75,0.59,0.75,1.0,1.0,1.0,0.917,0.8195,0.2
0.2,0.75,0.75,0.25,0.75,0.5925,0.75,1.0,1.0,1.0,0.917,0.825,0.2
0.3,0.75,0.75,0.25,0.75,0.598,0.75,1.0,1.0,1.0,0.9165,0.809,0.2
0.4,0.75,0.75,0.25,0.75,0.6015,0.75,1.0,1.0,1.0,0.9065,0.822,0.2
0.5,0.75,0.75,0.25,0.75,0.5845,0.75,1.0,1.0,1.0,0.907,0.808,0.2
0.6,0.75,0.75,0.25,0.75,0.5955,0.75,1.0,1.0,1.0,0.8995,0.8215,0.2
0.7,0.75,0.75,0.25,0.75,0.592,0.75,1.0,1.0,1.0,0.9,0.8245,0.2
0.8,0.75,0.75,0.25,0.75,0.5995,0.75,1.0,1.0,1.0,0.891,0.8135,0.2
0.9,0.75,0.75,0.25,0.75,0.588,0.75,1.0,1.0,1.0,0.8965,0.808,0.2
1.0,0.75,0.75,0.25,0.75,0.5905,0.75,1.0,1.0,1.0,0.89,0.7995,0.2

Time
0,727620,722768,1986651,1482019,1532917,911238,4453109,5715884,7672482,5994045,8654265,11501779,
