Distribution,NumClust,PointsCluster,Iterations per Noise
c,10,100000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.43725,0.43725,0.25,0.75,0.62275,0.402,0.86175,0.86175,0.99625,0.76075,0.8785,0.025
0.1,0.434,0.434,0.25,0.75,0.623,0.397,0.8635,0.86325,0.998,0.76125,0.8925,0.025
0.2,0.4265,0.4265,0.25,0.75,0.62975,0.39125,0.86625,0.866,0.99675,0.76425,0.877,0.025
0.3,0.42925,0.42925,0.25,0.75,0.6305,0.3955,0.8685,0.8685,0.99475,0.76675,0.88575,0.025
0.4,0.429,0.429,0.25,0.75,0.6255,0.3865,0.86325,0.86325,0.99575,0.77225,0.8895,0.025
0.5,0.432,0.432,0.25,0.75,0.6215,0.393,0.86925,0.86925,0.9935,0.77725,0.885,0.025
0.6,0.433,0.433,0.25,0.74975,0.61875,0.3915,0.8665,0.8665,0.9925,0.77175,0.87675,0.025
0.7,0.42975,0.42975,0.25,0.75,0.62025,0.38875,0.86675,0.86675,0.995,0.76625,0.885,0.025
0.8,0.4325,0.4325,0.25,0.75,0.624,0.388,0.86525,0.86525,0.99525,0.767,0.89575,0.025
0.9,0.43125,0.43125,0.25,0.75,0.616,0.38275,0.85775,0.85775,0.99675,0.7595,0.88875,0.025
1.0,0.436,0.436,0.25,0.74975,0.628,0.38375,0.8675,0.8675,0.99475,0.773,0.88575,0.025

Time
0,169958,170388,455118,328248,366077,219505,1893203,2147243,3416138,2496967,3846718,4919932,
