Distribution,NumClust,PointsCluster,Iterations per Noise
c,10,100,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.74875,0.74875,0.28375,0.75,0.62425,0.73075,0.973,0.973,0.9965,0.916,0.90775,0.06025
0.1,0.74775,0.74775,0.2795,0.75,0.64075,0.72775,0.96875,0.96875,0.996,0.91,0.90025,0.05825
0.2,0.74925,0.74925,0.28225,0.75,0.629,0.73025,0.9705,0.97075,0.996,0.90725,0.91075,0.05675
0.3,0.7485,0.7485,0.281,0.75,0.64,0.7255,0.9745,0.9745,0.99825,0.912,0.9035,0.05575
0.4,0.74775,0.74775,0.279,0.75,0.63475,0.7265,0.96575,0.96575,0.994,0.90775,0.9015,0.05725
0.5,0.74875,0.74875,0.2825,0.75,0.637,0.725,0.97075,0.9705,0.99525,0.908,0.8985,0.059
0.6,0.74875,0.74875,0.2795,0.75,0.63325,0.7285,0.9655,0.9655,0.99325,0.90875,0.90275,0.057
0.7,0.74875,0.74875,0.28425,0.75,0.63425,0.72225,0.9695,0.9695,0.99425,0.90275,0.90575,0.05725
0.8,0.7485,0.7485,0.28175,0.75,0.6345,0.72325,0.96825,0.96825,0.99525,0.90825,0.90575,0.0585
0.9,0.7475,0.7475,0.28425,0.75,0.63625,0.72275,0.966,0.96575,0.99525,0.898,0.9055,0.0585
1.0,0.7485,0.7485,0.2835,0.75,0.6335,0.72525,0.96925,0.96925,0.99625,0.9045,0.903,0.05825

Time
0,114,83,412,350,416,125,1077,1193,3079,1399,4065,4212,
