Distribution,NumClust,PointsCluster,Iterations per Noise
n,20,100000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.60875,0.71875,1.0,1.0,1.0,0.9375,0.86125,0.0
0.1,0.75,0.75,0.25,0.75,0.607625,0.718375,1.0,1.0,1.0,0.9375,0.866,0.0
0.2,0.75,0.75,0.25,0.75,0.61175,0.718375,1.0,1.0,1.0,0.9375,0.847125,0.0
0.3,0.75,0.75,0.25,0.75,0.605875,0.71875,1.0,1.0,1.0,0.9375,0.849625,0.0
0.4,0.75,0.75,0.25,0.75,0.61225,0.71925,1.0,1.0,1.0,0.9375,0.853125,0.0
0.5,0.75,0.75,0.25,0.75,0.605,0.718625,1.0,1.0,1.0,0.9375,0.831375,0.0
0.6,0.75,0.75,0.25,0.75,0.608125,0.71925,1.0,1.0,1.0,0.9375,0.8365,0.0
0.7,0.75,0.75,0.25,0.75,0.60275,0.717375,1.0,1.0,1.0,0.9375,0.851375,0.0
0.8,0.75,0.75,0.25,0.75,0.6045,0.715375,1.0,1.0,1.0,0.933875,0.848375,0.0
0.9,0.75,0.75,0.25,0.75,0.607,0.716125,1.0,1.0,1.0,0.933375,0.845375,0.0
1.0,0.75,0.75,0.25,0.75,0.608375,0.714625,1.0,1.0,1.0,0.931,0.851375,0.0

Time
0,313397,308368,879591,611719,691155,405096,6585033,7031258,12395663,8666546,14196936,18368992,
