Distribution,NumClust,PointsCluster,Iterations per Noise
n,20,1000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.2505,0.75,0.614,0.719625,1.0,1.0,1.0,0.9375,0.853375,0.013
0.1,0.75,0.75,0.250875,0.75,0.613625,0.71875,1.0,1.0,1.0,0.9375,0.8515,0.013375
0.2,0.75,0.75,0.250375,0.75,0.615125,0.719,1.0,1.0,1.0,0.9375,0.856625,0.012875
0.3,0.75,0.75,0.250375,0.75,0.61125,0.718375,1.0,1.0,1.0,0.9375,0.843,0.012875
0.4,0.75,0.75,0.250125,0.75,0.6095,0.7185,1.0,1.0,1.0,0.9375,0.84825,0.012625
0.5,0.75,0.75,0.250125,0.75,0.606875,0.718875,1.0,1.0,1.0,0.937375,0.85825,0.012625
0.6,0.75,0.75,0.25075,0.75,0.61175,0.717875,1.0,1.0,1.0,0.937125,0.841625,0.01325
0.7,0.75,0.75,0.25075,0.75,0.60825,0.71775,1.0,1.0,1.0,0.934625,0.836875,0.01325
0.8,0.75,0.75,0.250125,0.75,0.613875,0.719,1.0,1.0,1.0,0.934375,0.832,0.012625
0.9,0.75,0.75,0.250375,0.75,0.6065,0.716875,1.0,1.0,1.0,0.93,0.844125,0.012875
1.0,0.75,0.75,0.25025,0.75,0.612875,0.715,1.0,1.0,1.0,0.929625,0.836875,0.01275

Time
0,1327,1150,6148,3653,5051,1963,31610,28305,74998,40960,99297,128226,
