Distribution,NumClust,PointsCluster,Iterations per Noise
c,10,1000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.7385,0.7385,0.25,0.75,0.628,0.6895,0.9415,0.94125,0.997,0.8575,0.8745,0.025
0.1,0.73625,0.73625,0.25,0.75,0.62975,0.6865,0.93525,0.93525,0.99525,0.85825,0.88375,0.025
0.2,0.73525,0.73525,0.25,0.75,0.628,0.6875,0.93675,0.93675,0.9945,0.85725,0.88025,0.025
0.3,0.72725,0.72725,0.25,0.75,0.626,0.6775,0.9265,0.92625,0.996,0.848,0.88925,0.025
0.4,0.73275,0.73275,0.25,0.75,0.628,0.681,0.92725,0.92725,0.997,0.845,0.89775,0.025
0.5,0.7325,0.7325,0.25,0.75,0.622,0.6825,0.931,0.931,0.9955,0.8545,0.8865,0.025
0.6,0.72925,0.72925,0.25,0.75,0.6265,0.67075,0.929,0.92875,0.9925,0.84675,0.88775,0.025
0.7,0.731,0.731,0.25,0.75,0.62625,0.68,0.9315,0.9315,0.99475,0.8545,0.886,0.025
0.8,0.725,0.725,0.25,0.74975,0.63075,0.673,0.922,0.9215,0.99275,0.8555,0.89125,0.025
0.9,0.72775,0.72775,0.25,0.75,0.629,0.67175,0.929,0.92875,0.995,0.85025,0.87875,0.025
1.0,0.7245,0.7245,0.25,0.75,0.623,0.6745,0.9245,0.9245,0.99475,0.848,0.89075,0.025

Time
0,872,612,3586,2081,2449,1112,9720,9773,20176,12189,25346,39778,
