Distribution,NumClust,PointsCluster,Iterations per Noise
n,5,100,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.2565,0.75,0.5655,0.631,1.0,1.0,0.9985,0.7885,0.7425,0.0185
0.1,0.75,0.75,0.255,0.75,0.576,0.6315,1.0,1.0,1.0,0.7995,0.752,0.0185
0.2,0.75,0.75,0.2525,0.75,0.564,0.6325,1.0,1.0,0.998,0.7895,0.734,0.013
0.3,0.75,0.75,0.2535,0.75,0.5655,0.6265,1.0,1.0,0.997,0.783,0.7415,0.0195
0.4,0.7485,0.7485,0.2555,0.749,0.566,0.6305,1.0,1.0,0.996,0.772,0.7275,0.0135
0.5,0.7465,0.7465,0.254,0.749,0.5705,0.626,1.0,1.0,0.998,0.776,0.725,0.0185
0.6,0.7365,0.7365,0.255,0.748,0.5605,0.6255,1.0,1.0,0.995,0.7805,0.7255,0.0125
0.7,0.718,0.718,0.257,0.7405,0.566,0.633,1.0,1.0,0.9875,0.7765,0.728,0.0185
0.8,0.7015,0.7015,0.2555,0.73,0.56,0.6195,1.0,1.0,0.9945,0.775,0.7335,0.0175
0.9,0.6785,0.6785,0.2545,0.7155,0.5515,0.619,1.0,1.0,0.9875,0.77,0.7115,0.0165
1.0,0.676,0.676,0.253,0.707,0.5595,0.6185,1.0,1.0,0.985,0.772,0.721,0.0115

Time
0,31,36,171,129,168,50,199,315,690,393,877,980,
