Distribution,NumClust,PointsCluster,Iterations per Noise
n,5,1000000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.566,0.618,1.0,1.0,1.0,0.85,0.7775,0.05
0.1,0.75,0.75,0.25,0.75,0.571,0.625,1.0,1.0,1.0,0.824,0.768,0.05
0.2,0.75,0.75,0.25,0.75,0.5675,0.6225,1.0,1.0,1.0,0.8,0.764,0.05
0.3,0.75,0.75,0.25,0.75,0.5595,0.625,1.0,1.0,1.0,0.7875,0.746,0.05
0.4,0.75,0.75,0.25,0.75,0.5515,0.622,1.0,1.0,1.0,0.7855,0.744,0.05
0.5,0.75,0.75,0.25,0.75,0.546,0.6235,1.0,1.0,1.0,0.7795,0.741,0.05
0.6,0.749,0.749,0.25,0.75,0.551,0.6225,1.0,1.0,1.0,0.774,0.7235,0.05
0.7,0.7105,0.7105,0.25,0.75,0.5415,0.6255,1.0,1.0,1.0,0.777,0.7315,0.05
0.8,0.6955,0.6955,0.25,0.75,0.54,0.614,1.0,1.0,1.0,0.7745,0.714,0.05
0.9,0.6665,0.6665,0.25,0.738,0.541,0.6155,1.0,1.0,1.0,0.78,0.72,0.05
1.0,0.648,0.648,0.25,0.7135,0.555,0.609,1.0,1.0,1.0,0.771,0.7175,0.05

Time
0,732151,729257,1968838,1471721,1598200,914487,4486151,5691224,7686036,6081079,8610322,11446222,
