Distribution,NumClust,PointsCluster,Iterations per Noise
u,20,100000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.61825,0.749,1.0,1.0,1.0,0.98,0.8605,0.1875
0.1,0.75,0.75,0.25,0.75,0.61925,0.749125,1.0,1.0,1.0,0.970375,0.872875,0.1875
0.2,0.75,0.75,0.25,0.75,0.617125,0.748625,1.0,1.0,1.0,0.9675,0.867625,0.1875
0.3,0.75,0.75,0.25,0.75,0.614375,0.748,1.0,1.0,1.0,0.967125,0.870125,0.1875
0.4,0.75,0.75,0.25,0.75,0.616375,0.748,1.0,1.0,1.0,0.9685,0.866125,0.1875
0.5,0.75,0.75,0.25,0.75,0.617,0.748875,1.0,1.0,1.0,0.967375,0.8595,0.1875
0.6,0.75,0.75,0.25,0.75,0.6185,0.7485,1.0,1.0,1.0,0.9675,0.87,0.1875
0.7,0.75,0.75,0.25,0.75,0.616375,0.74875,1.0,1.0,1.0,0.967875,0.87875,0.1875
0.8,0.75,0.75,0.25,0.75,0.613875,0.748375,1.0,1.0,1.0,0.967875,0.87425,0.1875
0.9,0.75,0.75,0.25,0.75,0.616,0.748,1.0,1.0,1.0,0.966875,0.880375,0.1875
1.0,0.75,0.75,0.25,0.75,0.617375,0.748875,1.0,1.0,1.0,0.967375,0.87325,0.1875

Time
0,201910,185712,711363,467934,540388,273116,4300726,4484415,9503369,5956752,11193766,14931745,
