Distribution,NumClust,PointsCluster,Iterations per Noise
c,10,10000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.6365,0.6365,0.25,0.75,0.628,0.577,0.887,0.887,0.9975,0.8025,0.87825,0.0
0.1,0.62325,0.62325,0.25,0.75,0.63,0.57175,0.88925,0.88925,0.997,0.80125,0.873,0.0
0.2,0.6315,0.6315,0.25,0.75,0.6285,0.58125,0.89225,0.89225,0.9965,0.80325,0.87025,0.0
0.3,0.62775,0.62775,0.25,0.75,0.628,0.571,0.899,0.899,0.9945,0.803,0.88475,0.0
0.4,0.6175,0.6175,0.25,0.75,0.62125,0.57125,0.8865,0.886,0.99625,0.8,0.89775,0.0
0.5,0.607,0.607,0.25,0.75,0.62825,0.5585,0.88925,0.88925,0.99575,0.79775,0.8725,0.0
0.6,0.61925,0.61925,0.25,0.75,0.62425,0.56625,0.88825,0.88825,0.99625,0.80575,0.8685,0.0
0.7,0.61025,0.61025,0.25,0.75,0.62975,0.56325,0.88825,0.88825,0.995,0.8065,0.89025,0.0
0.8,0.6025,0.6025,0.25,0.75,0.6285,0.562,0.88925,0.88925,0.996,0.795,0.8745,0.0
0.9,0.59725,0.59725,0.25,0.75,0.62825,0.5525,0.882,0.882,0.994,0.8035,0.89575,0.0
1.0,0.59375,0.59375,0.25,0.75,0.63075,0.555,0.8795,0.8795,0.99575,0.787,0.8925,0.0

Time
0,9789,8166,37849,21511,25438,12433,120572,132371,237711,158044,284071,409696,
