Distribution,NumClust,PointsCluster,Iterations per Noise
c,20,1000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.745875,0.745875,0.250375,0.75,0.6285,0.7185,0.959375,0.959375,0.997875,0.909375,0.94825,0.013125
0.1,0.74675,0.74675,0.25025,0.75,0.629125,0.717375,0.96125,0.961125,0.998,0.90325,0.946875,0.013
0.2,0.74625,0.74625,0.25025,0.75,0.629375,0.717375,0.9615,0.961375,0.99875,0.908125,0.947625,0.013125
0.3,0.74475,0.74475,0.2505,0.75,0.6225,0.715125,0.958,0.95775,0.99775,0.90425,0.93325,0.013125
0.4,0.7455,0.7455,0.25025,0.75,0.626875,0.715125,0.963625,0.963375,0.997375,0.903125,0.932625,0.0135
0.5,0.7455,0.7455,0.250375,0.75,0.632875,0.715875,0.959875,0.959875,0.9975,0.906875,0.9375,0.01325
0.6,0.745625,0.745625,0.250625,0.75,0.631875,0.7155,0.957125,0.957,0.997125,0.90075,0.93475,0.0135
0.7,0.743875,0.743875,0.250375,0.75,0.630125,0.7125,0.959125,0.959125,0.998625,0.899,0.944125,0.012875
0.8,0.743,0.743,0.25,0.75,0.629125,0.711375,0.953875,0.95375,0.99625,0.89975,0.935375,0.0125
0.9,0.74425,0.74425,0.250375,0.75,0.62475,0.712125,0.956875,0.95675,0.998125,0.900125,0.938875,0.013375
1.0,0.744625,0.744625,0.25025,0.75,0.62675,0.708125,0.954875,0.954875,0.9975,0.89575,0.935125,0.013

Time
0,1305,1059,6238,3647,4529,1939,31556,28243,73947,41038,92122,127065,
