Distribution,NumClust,PointsCluster,Iterations per Noise
n,5,10000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.5715,0.625,1.0,1.0,1.0,0.849,0.768,0.0
0.1,0.75,0.75,0.25,0.75,0.5525,0.6225,1.0,1.0,1.0,0.822,0.7605,0.0
0.2,0.75,0.75,0.25,0.75,0.568,0.6265,1.0,1.0,1.0,0.796,0.7585,0.0
0.3,0.75,0.75,0.25,0.75,0.5545,0.6275,1.0,1.0,1.0,0.7805,0.756,0.0
0.4,0.75,0.75,0.25,0.75,0.555,0.6275,1.0,1.0,1.0,0.775,0.7325,0.0
0.5,0.75,0.75,0.25,0.75,0.5645,0.6265,1.0,1.0,1.0,0.774,0.729,0.0
0.6,0.746,0.746,0.25,0.75,0.552,0.625,1.0,1.0,1.0,0.783,0.721,0.0
0.7,0.7065,0.7065,0.25,0.75,0.553,0.624,1.0,1.0,1.0,0.779,0.7265,0.0
0.8,0.6925,0.6925,0.25,0.75,0.5525,0.6185,1.0,1.0,1.0,0.774,0.7025,0.0
0.9,0.6675,0.6675,0.25,0.7345,0.553,0.6175,1.0,1.0,1.0,0.77,0.7235,0.0
1.0,0.662,0.662,0.25,0.714,0.5585,0.6145,1.0,1.0,1.0,0.7805,0.726,0.0

Time
0,3653,3503,15388,8567,9932,5424,23391,32722,45766,35432,55952,86421,
