Distribution,NumClust,PointsCluster,Iterations per Noise
n,5,1000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.571,0.6245,1.0,1.0,1.0,0.826,0.764,0.05
0.1,0.75,0.75,0.25,0.75,0.5675,0.623,1.0,1.0,1.0,0.7995,0.7615,0.05
0.2,0.75,0.75,0.25,0.75,0.5665,0.6255,1.0,1.0,1.0,0.7835,0.7635,0.05
0.3,0.75,0.75,0.25,0.75,0.5635,0.626,1.0,1.0,1.0,0.779,0.7365,0.05
0.4,0.75,0.75,0.25,0.75,0.5665,0.6295,1.0,1.0,1.0,0.775,0.7505,0.05
0.5,0.75,0.75,0.25,0.75,0.5615,0.6245,1.0,1.0,1.0,0.772,0.7345,0.05
0.6,0.7475,0.7475,0.25,0.75,0.554,0.624,1.0,1.0,1.0,0.7755,0.7205,0.05
0.7,0.723,0.723,0.25,0.75,0.553,0.623,1.0,1.0,1.0,0.77,0.725,0.05
0.8,0.69,0.69,0.25,0.748,0.546,0.621,1.0,1.0,1.0,0.775,0.7315,0.05
0.9,0.682,0.682,0.25,0.7315,0.549,0.6155,1.0,1.0,1.0,0.7725,0.7175,0.05
1.0,0.651,0.651,0.25,0.701,0.5535,0.605,1.0,1.0,1.0,0.7785,0.726,0.05

Time
0,281,273,1627,818,1004,480,1781,3061,4502,3082,5663,9048,
