Distribution,NumClust,PointsCluster,Iterations per Noise
u,20,10000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.61675,0.743375,1.0,1.0,1.0,0.973375,0.874875,0.1875
0.1,0.75,0.75,0.25,0.75,0.622,0.744875,1.0,1.0,1.0,0.969875,0.875,0.1875
0.2,0.75,0.75,0.25,0.75,0.618875,0.74475,1.0,1.0,1.0,0.968375,0.874125,0.1875
0.3,0.75,0.75,0.25,0.75,0.612875,0.74375,1.0,1.0,1.0,0.967,0.875625,0.1875
0.4,0.75,0.75,0.25,0.75,0.624625,0.743,1.0,1.0,1.0,0.96775,0.8595,0.1875
0.5,0.75,0.75,0.25,0.75,0.615625,0.743,1.0,1.0,1.0,0.968375,0.87725,0.1875
0.6,0.75,0.75,0.25,0.75,0.618625,0.743375,1.0,1.0,1.0,0.9665,0.86525,0.1875
0.7,0.75,0.75,0.25,0.75,0.6225,0.744375,1.0,1.0,1.0,0.96825,0.858,0.1875
0.8,0.75,0.75,0.25,0.75,0.61375,0.742625,1.0,1.0,1.0,0.967125,0.85925,0.1875
0.9,0.75,0.75,0.25,0.75,0.620875,0.7445,1.0,1.0,1.0,0.96875,0.861875,0.1875
1.0,0.75,0.75,0.25,0.75,0.618625,0.745,1.0,1.0,1.0,0.96825,0.86525,0.1875

Time
0,15596,13578,65821,39610,47495,22060,353234,363530,816732,501605,1002447,1380587,
