Distribution,NumClust,PointsCluster,Iterations per Noise
c,5,100,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.744,0.744,0.2615,0.75,0.633,0.71,0.9445,0.9445,0.993,0.861,0.886,0.022
0.1,0.74,0.74,0.2595,0.75,0.633,0.7015,0.9395,0.9395,0.9905,0.841,0.8765,0.0165
0.2,0.744,0.744,0.258,0.7495,0.642,0.705,0.9445,0.9445,0.9905,0.859,0.873,0.0225
0.3,0.7445,0.7445,0.2555,0.75,0.638,0.7035,0.95,0.9495,0.9935,0.853,0.874,0.0205
0.4,0.7435,0.7435,0.257,0.75,0.635,0.701,0.9345,0.9355,0.988,0.8385,0.8745,0.0155
0.5,0.7425,0.7425,0.2605,0.75,0.64,0.7045,0.942,0.942,0.993,0.847,0.8705,0.0195
0.6,0.744,0.744,0.2595,0.75,0.633,0.703,0.944,0.944,0.99,0.837,0.8885,0.0185
0.7,0.7405,0.7405,0.2575,0.75,0.631,0.704,0.939,0.939,0.9885,0.8445,0.8865,0.0165
0.8,0.741,0.741,0.2595,0.7495,0.6445,0.698,0.94,0.94,0.993,0.8455,0.883,0.0175
0.9,0.743,0.743,0.257,0.7495,0.6335,0.7,0.938,0.938,0.9905,0.8415,0.8695,0.012
1.0,0.741,0.741,0.257,0.7495,0.651,0.6915,0.932,0.932,0.988,0.8395,0.8725,0.015

Time
0,24,37,161,115,145,53,199,349,658,385,845,942,
