Distribution,NumClust,PointsCluster,Iterations per Noise
c,20,10000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.71475,0.71475,0.25,0.75,0.629125,0.65975,0.931,0.930875,0.9985,0.868625,0.95575,0.0125
0.1,0.715125,0.715125,0.25,0.75,0.621,0.657375,0.933125,0.933,0.99775,0.868,0.957375,0.0125
0.2,0.713375,0.713375,0.25,0.75,0.626375,0.655375,0.930375,0.930375,0.99725,0.868,0.95725,0.0125
0.3,0.7115,0.7115,0.25,0.75,0.62975,0.652125,0.9305,0.930375,0.998875,0.863625,0.959125,0.0125
0.4,0.70825,0.70825,0.25,0.75,0.6285,0.651,0.92975,0.92975,0.997625,0.861625,0.949375,0.0125
0.5,0.705375,0.705375,0.25,0.75,0.627125,0.6475,0.929,0.929,0.997875,0.85925,0.955125,0.0125
0.6,0.705,0.705,0.25,0.75,0.62625,0.6485,0.93075,0.93075,0.998,0.863,0.946375,0.0125
0.7,0.702875,0.702875,0.25,0.75,0.627375,0.646,0.929875,0.92975,0.997875,0.864125,0.951125,0.0125
0.8,0.699125,0.699125,0.25,0.75,0.621,0.64375,0.92675,0.92675,0.997125,0.86125,0.95175,0.0125
0.9,0.697375,0.697375,0.25,0.75,0.62575,0.643625,0.926125,0.926125,0.99775,0.859125,0.952875,0.0125
1.0,0.693625,0.693625,0.25,0.75,0.630375,0.640625,0.9255,0.9255,0.9975,0.857875,0.95175,0.0125

Time
0,15757,13972,65826,39047,47232,22462,356824,372588,814529,502394,995851,1381041,
