Distribution,NumClust,PointsCluster,Iterations per Noise
u,10,1000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.607,0.73725,1.0,1.0,1.0,0.94875,0.84875,0.2
0.1,0.75,0.75,0.25,0.75,0.601,0.7365,1.0,1.0,1.0,0.94425,0.86175,0.2
0.2,0.75,0.75,0.25,0.75,0.60575,0.73575,1.0,1.0,1.0,0.9405,0.86125,0.2
0.3,0.75,0.75,0.25,0.75,0.61575,0.73825,1.0,1.0,1.0,0.93825,0.848,0.2
0.4,0.75,0.75,0.25,0.75,0.6135,0.7355,1.0,1.0,1.0,0.9365,0.867,0.2
0.5,0.75,0.75,0.25,0.75,0.61775,0.73525,1.0,1.0,1.0,0.93575,0.862,0.2
0.6,0.75,0.75,0.25,0.75,0.61075,0.737,1.0,1.0,1.0,0.936,0.85,0.2
0.7,0.75,0.75,0.25,0.75,0.61225,0.73425,1.0,1.0,1.0,0.93525,0.8435,0.2
0.8,0.75,0.75,0.25,0.75,0.61425,0.735,1.0,1.0,1.0,0.9365,0.84625,0.2
0.9,0.75,0.75,0.25,0.75,0.61425,0.737,1.0,1.0,1.0,0.939,0.85125,0.2
1.0,0.75,0.75,0.25,0.75,0.61425,0.73675,1.0,1.0,1.0,0.939,0.85325,0.2

Time
0,843,640,3832,2201,2639,1086,10479,10515,22020,12598,27978,41920,
