Distribution,NumClust,PointsCluster,Iterations per Noise
n,5,100000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.25,0.75,0.57,0.627,1.0,1.0,1.0,0.85,0.7675,0.0
0.1,0.75,0.75,0.25,0.75,0.5585,0.6255,1.0,1.0,1.0,0.827,0.772,0.0
0.2,0.75,0.75,0.25,0.75,0.5545,0.6205,1.0,1.0,1.0,0.792,0.7655,0.0
0.3,0.75,0.75,0.25,0.75,0.557,0.6245,1.0,1.0,1.0,0.7835,0.7535,0.0
0.4,0.75,0.75,0.25,0.75,0.54,0.625,1.0,1.0,1.0,0.7785,0.738,0.0
0.5,0.75,0.75,0.25,0.75,0.5595,0.626,1.0,1.0,1.0,0.779,0.7385,0.0
0.6,0.75,0.75,0.25,0.75,0.5565,0.625,1.0,1.0,1.0,0.776,0.719,0.0
0.7,0.7145,0.7145,0.25,0.75,0.547,0.62,1.0,1.0,1.0,0.773,0.7245,0.0
0.8,0.6745,0.6745,0.25,0.75,0.5545,0.622,1.0,1.0,1.0,0.772,0.717,0.0
0.9,0.6655,0.6655,0.25,0.7395,0.5405,0.6115,1.0,1.0,1.0,0.7775,0.725,0.0
1.0,0.6505,0.6505,0.25,0.712,0.5425,0.6085,1.0,1.0,1.0,0.7725,0.713,0.0

Time
0,46044,42731,165313,111079,122847,61542,301152,406663,622531,436592,716827,949771,
