Distribution,NumClust,PointsCluster,Iterations per Noise
c,20,100000,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.545875,0.545875,0.25,0.75,0.627,0.5125,0.91,0.91,0.998375,0.82975,0.95575,0.0
0.1,0.542625,0.542625,0.25,0.75,0.6255,0.505625,0.909625,0.909625,0.997125,0.8385,0.95375,0.0
0.2,0.54025,0.54025,0.25,0.75,0.628875,0.504625,0.906,0.906,0.998375,0.831375,0.96,0.0
0.3,0.531625,0.531625,0.25,0.75,0.626125,0.49875,0.908375,0.908375,0.9985,0.8315,0.95825,0.0
0.4,0.527375,0.527375,0.25,0.75,0.62625,0.5005,0.9105,0.9105,0.997125,0.835375,0.962125,0.0
0.5,0.5175,0.5175,0.25,0.749875,0.626875,0.493,0.906375,0.906375,0.998,0.831625,0.95875,0.0
0.6,0.5245,0.5245,0.25,0.75,0.624375,0.4955,0.913625,0.913625,0.9965,0.8355,0.960625,0.0
0.7,0.511,0.511,0.25,0.75,0.6235,0.485875,0.907125,0.907125,0.997625,0.832375,0.954375,0.0
0.8,0.513125,0.513125,0.25,0.75,0.6265,0.48125,0.909875,0.909875,0.99775,0.8315,0.9605,0.0
0.9,0.511375,0.511375,0.25,0.75,0.62625,0.486875,0.9105,0.9105,0.99725,0.827375,0.958625,0.0
1.0,0.503125,0.503125,0.25,0.75,0.625875,0.483,0.903,0.903,0.997625,0.82425,0.956375,0.0

Time
0,297653,292693,862904,586749,674931,388028,6264293,6686654,11995563,8301062,13827196,17975923,
