Distribution,NumClust,PointsCluster,Iterations per Noise
n,10,100,100
Rauschwert,var,stdabw,geoMean,MedDev,QuartDisp,VariCoeff,VarDiff,stdabwDiff,MedDevDiff,VarCoffDiff,QuartDispDiff,geoMeanDiff
0.0,0.75,0.75,0.27775,0.75,0.59675,0.69175,1.0,1.0,1.0,0.88075,0.81775,0.053
0.1,0.75,0.75,0.2805,0.75,0.60625,0.69225,1.0,1.0,1.0,0.8785,0.8085,0.05575
0.2,0.75,0.75,0.28225,0.75,0.598,0.69125,1.0,1.0,1.0,0.87825,0.8185,0.05725
0.3,0.75,0.75,0.282,0.75,0.60075,0.68875,1.0,1.0,1.0,0.87325,0.8145,0.057
0.4,0.75,0.75,0.27975,0.75,0.6065,0.68875,1.0,1.0,1.0,0.87575,0.82325,0.0545
0.5,0.75,0.75,0.28075,0.75,0.60175,0.68675,1.0,1.0,1.0,0.875,0.80725,0.05575
0.6,0.75,0.75,0.27825,0.75,0.599,0.6895,1.0,1.0,1.0,0.87325,0.81525,0.05325
0.7,0.75,0.75,0.2805,0.75,0.60075,0.6855,1.0,1.0,0.99975,0.86875,0.797,0.0555
0.8,0.75,0.75,0.281,0.75,0.60275,0.68825,1.0,1.0,1.0,0.86825,0.7955,0.05625
0.9,0.75,0.75,0.277,0.75,0.59375,0.68575,1.0,1.0,1.0,0.8685,0.79,0.05225
1.0,0.75,0.75,0.28175,0.75,0.59925,0.682,1.0,1.0,0.9995,0.8635,0.7905,0.0565

Time
0,92,91,382,290,449,109,1133,1113,3101,1481,3921,4133,
